_r;_RAJ2000;_DEJ2000;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;PM;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;FG;e_FG;Gmag;e_Gmag;FBP;e_FBP;BPmag;e_BPmag;FRP;e_FRP;RPmag;e_RPmag;BP-RP;RVDR2;e_RVDR2;Tefftemp;loggtemp;PS1;SDSSDR13;SkyMapper2;URAT1;GmagCorr;e_GmagCorr;FGCorr;RAJ2000;DEJ2000
2.1978;305.985501163483;38.4716642089539;305.98547095164;0.1519;38.47162683118;0.1719;2.06112972274604E+018;0.7169;0.2009;9.952;-5.322;0.206;-8.41;0.223;1.041;431.91;0.93667;19.098877;0.003624;88.089;6.5825;20.476238;0.081181;455.15;7.0147;18.102507;0.017155;2.373732;       ;     ;      ;    ;1.54163059854877E+017;                   ;         ;643418762;19.098877;0.003624;431.91;305.98550116488;38.47166420691
2.2016;305.913179429011;38.4587166042428;305.91316825343;0.3797;38.45869947091;0.4546;2.06113023814284E+018;0.3177;0.5358;4.329;-1.969;0.544;-3.855;0.68;1.095;148.51;0.8357;20.257944;0.006702;46.467;5.9341;21.170689;0.138683;159.56;7.1273;19.2406;0.048646;1.930088;       ;     ;      ;    ;1.54153059131611E+017;                   ;         ;         ;20.250325;0.006663;149.56;305.9131794287;38.45871660464
2.2066;305.983896408754;38.5051675472793;305.98387594579;1.3286;38.50513959617;2.305;2.06113007063924E+018;2.9785;1.9628;7.248;-3.603;1.69;-6.289;3.034;1.067;83.508;1.3947;20.883041;0.018341;42.546;3.2231;21.266403;0.082299;108.27;8.6657;19.661625;0.086982;1.604778;       ;     ;      ;    ;1.54203059838137E+017;                   ;         ;         ;20.880519;0.0183;83.703;305.98389640739;38.50516754639
2.2066;305.951431322903;38.5232097758731;305.9514240571;0.0422;38.52318176254;0.0486;2.06113086091685E+018;1.0456;0.0577;6.432;-1.279;0.056;-6.303;0.067;1.007;2765.2;1.9298;17.083033;0.002858;950.64;12.231;17.893497;0.014245;2573.1;18.162;16.221773;0.008545;1.671724;       ;     ;      ;    ;1.54223059514178E+017;                   ;         ;643418617;17.083033;0.002858;2765.2;305.95143132355;38.52320977699
2.2144;305.98968329794;38.48183353364;305.98968329794;2.2819;38.48183353364;1.6548;2.06112976140207E+018;          ;       ;         ;         ;      ;         ;      ;        ;89.893;1.2511;20.80305;0.01536;           ;           ;         ;         ;           ;           ;         ;         ;         ;       ;     ;      ;    ;1.54173059897269E+017;                   ;         ;         ;20.80305;0.01536;89.893;305.98968329794;38.48183353364
2.2163;305.982084328125;38.5077080675989;305.98208274351;0.1117;38.50770713871;0.1308;2.06113013506133E+018;0.424;0.1513;0.349;-0.279;0.15;-0.209;0.171;1.045;634.32;1.0808;18.681595;0.003319;162.49;7.6997;19.811447;0.051523;689.88;8.5728;17.650967;0.014011;2.160481;       ;     ;      ;    ;1.5420305982092E+017;                   ;         ;643418750;18.681595;0.003319;634.32;305.98208432969;38.50770806586
2.2185;305.989698064821;38.4813563484752;305.98967948221;0.2778;38.48134144181;0.3124;2.06112975710651E+018;0.4075;0.3678;4.686;-3.273;0.386;-3.354;0.441;1.013;192.85;0.79424;19.974321;0.005252;38.441;7.281;21.376558;0.205666;313.13;9.586;18.508583;0.033452;2.867975;       ;     ;      ;    ;1.54173059897408E+017;                   ;         ;         ;19.950625;0.00517;197.1;305.98969806232;38.48135634935
2.2297;305.90782334884;38.46204832997;305.90782334884;1.2565;38.46204832997;1.6336;2.0611302037831E+018;          ;       ;         ;         ;      ;         ;      ;        ;76.736;1.1464;20.974867;0.016453;46.524;14.768;21.169342;0.344645;114.61;11.822;19.599867;0.112057;1.569475;       ;     ;      ;    ;1.54153059078135E+017;                   ;         ;         ;20.974867;0.016453;76.736;305.90782334884;38.46204832997
2.2322;305.895667311982;38.4838258307705;305.8956470027;0.09;38.48380232855;0.1;2.0611305130184E+018;0.3346;0.122;6.384;-3.577;0.127;-5.288;0.141;1.063;893.99;1.1247;18.30904;0.003075;191.57;6.6239;19.632698;0.037644;1082.8;8.4817;17.161522;0.009307;2.471176;       ;     ;      ;    ;1.54183058956481E+017;                   ;         ;643418364;18.30904;0.003075;893.99;305.89566730981;38.48382583069
2.2362;305.989027233616;38.4966094648414;305.98901319007;0.1367;38.49659180262;0.1622;2.06113006634183E+018;0.0015;0.1839;4.68;-2.473;0.188;-3.974;0.224;1.065;536.37;1.1439;18.8637;0.003599;84.765;8.794;20.517998;0.112675;735.84;13.791;17.580942;0.020697;2.937056;       ;     ;      ;    ;1.54193059890147E+017;                   ;         ;643418775;18.83899;0.003566;548.72;305.98902723116;38.49660946492
